Title	IMDB Key	Status	Director	Writer	Cast	Genre	Language	Year	ORT	Plot
2 States 2014	tt2372678	2 States	Abhishek Varman	Chetan Bhagat,Abhishek Varman	Arjun Kapoor,Alia Bhatt,Amrita Singh	comedy,drama,romance		2014	149	How Chetan met his wife and the difficulties they faced in getting married due to their cultural differences.
A Day at the Races 1937	tt0028772	A Day at the Races	Sam Wood	Robert Pirosh,George Seaton	Groucho Marx,Chico Marx,Harpo Marx	comedy,sport		1937	111	A veterinarian posing as a doctor, a race-horse owner and his friends struggle to help keep a sanitarium open with the help of a misfit race-horse.
American Sniper 2014	tt2179136	American Sniper	Clint Eastwood	Jason Hall,Chris Kyle	Bradley Cooper,Sienna Miller,Kyle Gallner	action,biography,thriller		2015	132	Navy SEAL sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home to his wife and kids after four tours of duty, however, Chris finds that it is the war he can't leave behind.
Awaara 1951	tt0043306	Awaara	Raj Kapoor	Khwaja Ahmad Abbas,Khwaja Ahmad Abbas	Prithviraj Kapoor,Nargis,Raj Kapoor	drama,musical,romance		1956	82	Raju lives as a derelict as a result of being estranged from his bitter father, a district judge, who threw Raju's mother out of the house years ago. Raju shacks up with a Dacoit (...
Battleship Potemkin 1925	tt0015648	Battleship Potemkin	Sergei M. Eisenstein	Nina Agadzhanova	Aleksandr Antonov,Vladimir Barsky,Grigori Aleksandrov	history,war		1925	66	A dramatized account of a great Russian naval mutiny and a resulting street demonstration which brought on a police massacre.
Being John Malkovich 1999	tt0120601	Being John Malkovich	Spike Jonze	Charlie Kaufman	John Cusack,Cameron Diaz,Catherine Keener	comedy,drama,fantasy		1999	112	A puppeteer discovers a portal that leads literally into the head of the movie star, John Malkovich.
Birdman 2014	tt2562232	Birdman: Or (The Unexpected Virtue of Ignorance)	Alejandro González Iñárritu	Alejandro González Iñárritu,Nicolás Giacobone	Michael Keaton,Zach Galifianakis,Edward Norton	comedy,drama		2014	119	A washed-up actor, who once played an iconic superhero, battles his ego and attempts to recover his family, his career and himself in the days leading up to the opening of his Broadway play.
Caddyshack 1980	tt0080487	Caddyshack	Harold Ramis	Brian Doyle-Murray,Harold Ramis	Chevy Chase,Rodney Dangerfield,Bill Murray	comedy,sport		1980	98	An exclusive golf course has to deal with a brash new member and a destructive dancing gopher.
Calle 54 2000	tt0260775	Calle 54	Fernando Trueba	Fernando Trueba	Michel Camilo,Tito Puente,Arturo O'Farrill	documentary,music		2000	105	A film featuring performances of several stars of the Latin Jazz music scene.
Delhi Belly 2011	tt1934231	Delhi Belly	Abhinay Deo,Akshat Verma	Akshat Verma	Imran Khan,Vir Das,Kunaal Roy Kapur	comedy,crime,drama		2011	103	Three struggling room-mates unknowingly become potential prey of a ruthless gangster.
Desperado 1995	tt0112851	Desperado	Robert Rodriguez	Robert Rodriguez	Antonio Banderas,Salma Hayek,Joaquim de Almeida	action,crime,thriller		1995	104	A gunslinger is embroiled in a war with a local drug runner.
Django 1966	tt0060315	Django	Sergio Corbucci	Sergio Corbucci,Bruno Corbucci	Franco Nero,José Canalejas,José Bódalo	action,western		2003	92	A coffin-dragging gunslinger enters a town caught between two feuding factions, the KKK and a gang of Mexican Bandits. That man is Django, and he is caught up in a struggle against both parties.
Duck Soup 1933	tt0023969	Duck Soup	Leo McCarey	Bert Kalmar,Harry Ruby	Groucho Marx,Harpo Marx,Chico Marx	comedy,musical,war		1933	68	Rufus T. Firefly is named president/dictator of bankrupt Freedonia and declares war on neighboring Sylvania over the love of wealthy Mrs. Teasdale.
Dumb and Dumber To 2014	tt2096672	Dumb and Dumber To	Bobby Farrelly,Peter Farrelly	Sean Anders,John Morris	Jim Carrey,Jeff Daniels,Rob Riggle	comedy		2014	109	Twenty years since their first adventure, Lloyd and Harry go on a road trip to find Harry's newly discovered daughter, who was given up for adoption.
El Mariachi 1992	tt0377055	El Mariachi: 10 Years Later	Rokki James	Carlos Gallardo,Rokki James	Carlos Gallardo,Robert Rodriguez,Rokki James	action,adventure,documentary				1993 Sundance Film Festival winner Carlos Gallardo discusses his last 10 year producer journey with famed director Robert Rodriguez. mariachi.
Foxcatcher 2014	tt1100089	Foxcatcher	Bennett Miller	E. Max Frye,Dan Futterman	Steve Carell,Channing Tatum,Mark Ruffalo	biography,drama,sport		2015	134	The greatest Olympic Wrestling Champion brother team joins Team Foxcatcher led by multimillionaire sponsor John E. du Pont as they train for the 1988 games in Seoul - a union that leads to unlikely circumstances.
From Russia With Love 1963	tt0057076	From Russia with Love	Terence Young	Richard Maibaum,Johanna Harwood	Sean Connery,Robert Shaw,Lotte Lenya	action,adventure,thriller		1964	115	James Bond willingly falls into an assassination ploy involving a naive Russian beauty in order to retrieve a Soviet encryption device that was stolen by SPECTRE.
Going Clear Scientology and the Prison of Belief 2015	tt4257858	Going Clear: Scientology and the Prison of Belief	Alex Gibney	Alex Gibney,Lawrence Wright	Lawrence Wright,Mike Rinder,Marty Rathbun	documentary		2015	119	An in-depth look at the inner-workings of the Church of Scientology.
Goldfinger 1964	tt0058150	Goldfinger	Guy Hamilton	Richard Maibaum,Paul Dehn	Sean Connery,Gert Fröbe,Honor Blackman	action,adventure,thriller		1965	110	Investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.
Guardians of the Galaxy 2014	tt2015381	Guardians of the Galaxy	James Gunn	James Gunn,Nicole Perlman	Chris Pratt,Vin Diesel,Bradley Cooper	action,adventure,sci-fi		2014	121	A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.
