seq,rank,name,industry,headquarters,country,ceo,founded,employees,revenue($M),profits($M),assets($M),mkt_value($M),forbes_webpage
1,1,Berkshire Hathaway,Diversified Financials,"Omaha, Nebraska",United States,Warren Edward Buffett,1939,"372,000","276,090","89,800","958,780","741,480",berkshire-hathaway
2,2,ICBC,Banking,Beijing,China,Shu Gu,1984,"434,089","208,130","54,030","5,518,510","214,430",icbc
3,3,Saudi Arabian Oil Company (Saudi Aramco),Oil & Gas Operations,Dhahran,Saudi Arabia,Amin bin Hasan Al-Nasser,1933,"68,493","400,380","105,360","576,040","2,292,080",saudi-arabian-oil-company-saudi-aramco
4,4,JPMorgan Chase,Banking,"New York, New York",United States,Jamie Dimon,2000,"270,000","124,540","42,120","3,954,690","374,450",jpmorgan-chase
5,5,China Construction Bank,Banking,Beijing,China,Wang Zuji,2014,"349,671","202,070","46,890","4,746,950","181,320",china-construction-bank
6,6,Amazon,E-commerce,"Seattle, Washington",United States,Andy Jassy,1994,"1,608,000","469,820","33,360","420,550","1,468,400",amazon
7,7,Apple,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment","Cupertino, California",United States,Tim Cook,1976,"164,000","378,700","100,560","381,190","2,640,320",apple
8,8,Agricultural Bank of China,Banking,Beijing,China,Gu Shu,1979,"455,174","181,420","37,380","4,561,050","133,380",agricultural-bank-of-china
9,9,Bank of America,Banking,"Charlotte, North Carolina",United States,Brian Moynihan,1904,"166,400","96,830","31,000","3,238,220","303,100",bank-of-america
10,10,Toyota Motor,Automotive (Automotive and Suppliers),Toyota,Japan,Akio Toyoda,1986,"372,817","281,750","28,150","552,460","237,730",toyota-motor
11,11,Alphabet,"IT, Internet, Software & Services","Mountain View, California",United States,Sundar Pichai,1998,"156,500","257,490","76,030","359,270","1,581,720",alphabet
12,12,Microsoft,na,"Redmond, Washington",United States,Satya Nadella,1975,"221,000","184,900","71,190","340,390","2,054,370",microsoft
13,13,Bank of China,Banking,Beijing,China,Wang Jiang,1929,"306,322","152,430","33,570","4,192,840","117,830",bank-of-china
14,14,Samsung Group,Electronics,Suwon-Si,South Korea,Dr. Kye Hyun Kyung,1938,"20,000","244,160","34,270","358,880","367,260",samsung-electronics
15,15,ExxonMobil,"Construction, Oil & Gas Operations, Mining and Chemicals","Irving, Texas",United States,Darren W. Woods,1999,"63,000","280,510","23,040","338,920","359,730",exxon-mobil
16,16,Shell,"Construction, Oil & Gas Operations, Mining and Chemicals",London,United Kingdom,Ben van Beurden,1911,"82,000","261,760","20,270","404,380","211,100",shell
17,17,Ping An Insurance Group,Insurance,Shenzhen,China,Yonglin Xie Sin Yin Tan,1988,"355,982","181,370","15,740","1,587,110","121,690",ping-an-insurance
18,18,Wells Fargo,Banking,"San Francisco, California",United States,Charles William Scharf,1852,"247,848","84,120","20,580","1,939,710","176,770",wells-fargo
19,19,Verizon Communications,"Telecommunications Services, Cable Supplier","New York, New York",United States,Hans Vestberg,1983,"105,376","134,350","21,520","366,600","218,020",verizon-communications
20,20,AT&T,"Telecommunications Services, Cable Supplier","Dallas, Texas",United States,John Stankey,1876,"169,880","163,030","17,330","551,620","141,790",att
21,21,PetroChina,Oil & Gas Operations,Beijing,China,Yi Lin Wang,1999,"476,223","380,310","14,290","392,600","142,300",petrochina
22,22,UnitedHealth Group,Insurance,"Minnetonka, Minnesota",United States,Andrew Witty,1977,"360,000","297,550","17,450","221,240","490,150",unitedhealth-group
23,23,Walmart,Retailing,"Bentonville, Arkansas",United States,C. Douglas McMillon,1962,"2,300,000","572,750","13,670","244,860","431,640",walmart
24,24,China Merchants Bank,Banking,Shenzhen,China,Miao Jianmin,1987,"103,669","71,070","18,580","1,451,200","167,320",china-merchants-bank
25,25,Volkswagen Group,Consumer Durables,Wolfsburg,Germany,Herbert Diess,1937,"672,789","295,730","17,540","638,260","82,400",volkswagen-group
26,26,Chevron,"Construction, Oil & Gas Operations, Mining and Chemicals","San Ramon, California",United States,Michael K. Wirth,1879,"19,627","156,290","15,630","239,530","316,230",chevron
27,27,Citigroup,Banking,"New York, New York",United States,Jane Fraser,1812,"223,400","79,940","18,230","2,394,110","101,480",citigroup
28,28,Tencent Holdings,IT Software & Services,Shenzhen,China,Hua Teng Ma,1998,"112,771","86,860","34,940","252,990","414,280",tencent-holdings
29,29,Total,Oil & Gas Operations,Paris,France,Patrick Pouyanné,1924,"101,309","185,120","16,140","293,460","127,320",total
30,30,Postal Savings Bank Of China (PSBC),Banking,Beijing,China,Xue Wen Zhang,1919,"193,946","77,610","11,330","1,975,080","125,530",postal-savings-bank-of-china
